t_ns,t_ms,step,tag,allocated_B,reserved_B,max_allocated_B,max_reserved_B,allocated_MB,reserved_MB,max_allocated_MB,max_reserved_MB
1770705166584683108,0.0,0,step_start,3478016,23068672,3478016,23068672,3.478016,23.068672,3.478016,23.068672
1770705166616645990,31.962882,0,after_data_wait,3478016,23068672,3478016,23068672,3.478016,23.068672,3.478016,23.068672
1770705166617302165,32.619057,0,after_h2d,6624256,23068672,6624256,23068672,6.624256,23.068672,6.624256,23.068672
1770705166617720931,33.037823,0,before_forward,6624256,23068672,6624256,23068672,6.624256,23.068672,6.624256,23.068672
1770705166913326183,328.643075,0,after_forward,74807808,90177536,74807808,90177536,74.807808,90.177536,74.807808,90.177536
1770705166942479031,357.795923,0,after_loss,74811392,90177536,74811392,90177536,74.811392,90.177536,74.811392,90.177536
1770705167275755319,691.072211,0,after_backward,75106304,144703488,114338816,144703488,75.106304,144.703488,114.338816,144.703488
1770705167292205153,707.522045,0,after_opt_step,75427840,144703488,114338816,144703488,75.42784,144.703488,114.338816,144.703488
1770705167292603156,707.920048,0,step_end,75427840,144703488,114338816,144703488,75.42784,144.703488,114.338816,144.703488
1770705167331339702,746.656594,1,step_start,75428352,144703488,75428352,144703488,75.428352,144.703488,75.428352,144.703488
1770705167331938256,747.255148,1,after_data_wait,72282112,144703488,75428352,144703488,72.282112,144.703488,75.428352,144.703488
1770705167332764660,748.081552,1,after_h2d,75428352,144703488,75428352,144703488,75.428352,144.703488,75.428352,144.703488
1770705167333231767,748.548659,1,before_forward,75106816,144703488,75428352,144703488,75.106816,144.703488,75.428352,144.703488
1770705167337337561,752.654453,1,after_forward,108684800,146800640,110765568,146800640,108.6848,146.80064,110.765568,146.80064
1770705167337822434,753.139326,1,after_loss,108687872,146800640,110765568,146800640,108.687872,146.80064,110.765568,146.80064
1770705167340964735,756.281627,1,after_backward,75428352,146800640,114660864,146800640,75.428352,146.80064,114.660864,146.80064
1770705167348977243,764.294135,1,after_opt_step,75428352,146800640,114660864,146800640,75.428352,146.80064,114.660864,146.80064
1770705167349294522,764.611414,1,step_end,75428352,146800640,114660864,146800640,75.428352,146.80064,114.660864,146.80064
1770705167349560790,764.877682,2,step_start,75428352,146800640,75428352,146800640,75.428352,146.80064,75.428352,146.80064
1770705167350079660,765.396552,2,after_data_wait,72282112,146800640,75428352,146800640,72.282112,146.80064,75.428352,146.80064
1770705167350567075,765.883967,2,after_h2d,75428352,146800640,75428352,146800640,75.428352,146.80064,75.428352,146.80064
1770705167350959247,766.276139,2,before_forward,75106816,146800640,75428352,146800640,75.106816,146.80064,75.428352,146.80064
1770705167354305174,769.622066,2,after_forward,108684800,146800640,110765568,146800640,108.6848,146.80064,110.765568,146.80064
